amazon_category_and_sub_category,description
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description inject bit of hornby magic into christmas with the special santa express train set  the set includes everything you need to get started  including santa festive train  an oval track  power transformer and mat  whether this is your first train set  or you re seasoned modeller  santa express will delight young and old alike and is sure to become festive favourite  for spectacular christmas decoration  build the set around the base of your christmas tree or use as moving table centre  add some christmas cheer to your existing model railwaysanta special train includes his very own steam engine  wagon full of presents and closed van in which he keeps his reindeer  the spritely little engine  in its colourful livery is more than capable of pulling such an important train around the oval of track included in this set  additional track packs can be obtained to make the layout larger and even more exciting  and there is even hornby midimat included so you can see how santa special train set can grow and grow into truly exciting model railway  contents santa express   locomotive  plank open wagon  with lots of presents  reindeer box van  radius starter oval  power track and track straight  train controller  transformer  hornby midimat   this item will be supplied with uk transformer box contains santa express   locomotive plank open wagon reindeer box van   radius starter oval power track and track straight train controller   transformer hornby midimat  x
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"product description an amazingly interactive chuggington world  chuggington interactive chatsworth instantly recognises and ""magically"" talks to any other engine  training stop and set accessories  this engine has over sounds and phrases  when used with other chuggington interactive products featuring the actual voice from the chuggington show  each interactive talking engine features smart talk technology which enables them to instantly recognise any other engine  react to any train stop and respond to your play  chuggington interactive is magical open ended play system featuring iconic destinations and characters from the bbc cbeebies top rated preschool show chuggington  chatsworth is very proper engine who lives next door to harrison in the upper level of the roundhouse  chatsworth is honest  good mannered  polite and considerate of others  however he considers himself as the upper crust of chuggington  on time  clean and in fine repair  chatsworth always presents his best wheel forward  as first impressions are very important to him  engines recognise and ""magically"" talk to each other  training stops and set accessories  requires x aa batteries  included box contains x interactive chatsworth engine"
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description the chuggington interactive railway brings your favourite engines to life via smarttalk tm  technology  the wash and fuel set features total pieces  including an interactive brewster engine  chug wash and fuel depot as with all chuggington interactive engines  brewster actually recognizes and reacts with other chuggington interactive engines and train stops  this set features over sounds and phrases when used with other chuggington interactive products the more pieces you add  the more interactive your world becomes  chuggington interactive is magical open ended play system featuring iconic destinations and characters from the bbc cbeebies top rated preschool show chuggington  box contains total piece wash and fuel set
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"product description an amazingly interactive chuggington world  each chuggington friend talks  reacts and interacts realistically with the chuggington interactive world  each smart engine recognizes any other engine  reacts to any train stop and responds to your play  engines recognise and ""magically"" talk to each other  trainig stops and set accessories brewster is solid diesel electric train built for heavy loads  he doesn’t always understand his own strength  which can make him bit awkward and clumsy  he is very dependable and can always be relied on in crisis  tower of strength  box contains x interactive brewster engine"
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description was year full of hope and anticipation  the second world war had been over for three years and although there was still feeling of austerity in britain  london was chosen to host the modern olympic games  some years after the city hosted the games for the first time this london train pack  limited to just   features an exlner class locomotive in the then newly applied nationalised british railways livery  while the coaches show their heritage as lner  still unpainted but with br numbering applied  box contains br class locomotivebr  exlner  composite coachbr  exlner  brake coachnumbered limited edition certificate
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"product description take play elizabeth is durable diecast vehicle from thomas and friends  it works with fisher price take play portable playsets  elizabeth is beautifully restored vintage steam wagon who  like all trucks on the island  believes that roads are much better than rails  she tends to wear scowl and will be quick to correct the engines who comment on her age by exclaiming ""i not old  m vintage she has no patience for dawdlers  if you are here  you better be here to work"
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,dapol oo gauge stanier non corridor coach in br carmine red livery  unlined  plastic model kit  manufacturers description  william stanier   was headhunted from the gwr to become chief mechanical engineer of london  midland and scottish  lms  railways in  with the support of the chairman  sir josiah stamp  stanier is credited with modernising the lms fleet of generally small steam locomotives with larger  modern and more powerful array of designs  soon after his appointment  stanier also focused on refurbishing and standardising the coach stock of the lms and developed the period iii lms coaches which later became known as stanier coaches  these designs were extremely popular and successful and many were still in service in the mid  s  there are many examples of period iii coaches operating on heritage railways throughout the uk today  the dapol oo model of the stanier coach is derived from refurbished airfix mainline tooling originally purchased by dapol in the  s  there are some compromises on detail accuracy due to the condition and usability of the  year old tooling  however  we feel the model captures the essence of the period iii coach design well and offers an extremely affordable way of building up fleet of pre or post nationalised fleet of lms coaches  dapol have strived to ensure livery and colour details have been captured and are comparable to the originals  including the roof level gold lines  the kit comes complete with decorated body  all that is required is painting of the roof and other components and assembly  please note that this item is not toy and is intended for model railway enthusiasts
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,dapol oo gauge stanier non corridor brake coach in br carmine red livery  unlined  plastic model kit  manufacturers description  william stanier   was headhunted from the gwr to become chief mechanical engineer of london  midland and scottish  lms  railways in  with the support of the chairman  sir josiah stamp  stanier is credited with modernising the lms fleet of generally small steam locomotives with larger  modern and more powerful array of designs  soon after his appointment  stanier also focused on refurbishing and standardising the coach stock of the lms and developed the period iii lms coaches which later became known as stanier coaches  these designs were extremely popular and successful and many were still in service in the mid s  there are many examples of period iii coaches operating on heritage railways throughout the uk today  the dapol oo model of the stanier coach is derived from refurbished airfix mainline tooling originally purchased by dapol in the s  there are some compromises on detail accuracy due to the condition and usability of the  year old tooling  however  we feel the model captures the essence of the period iii coach design well and offers an extremely affordable way of building up fleet of pre or post nationalised fleet of lms coaches  dapol have strived to ensure livery and colour details have been captured and are comparable to the originals  including the roof level gold lines  the kit comes complete with decorated body  all that is required is painting of the roof and other components and assembly  please note that this item is not toy and is intended for model railway enthusiasts
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,product description hornby gwr passenger freight oo gauge electric train set versatile freight transport the versatile gwr   locomotive makes easy work of hauling the two open wagons and the small coach around the oval of track  the circuit includes an additional siding  providing an area where selected wagons can be deposited and collected again as the train travels the circuit  gwr passenger freight the train includes   locomotive  two wagons and four wheel coach  it is operated using the train controller provided  why choose hornby analogue train set? hornby analogue sets represent the classic origins of hornby world famous model trains  in addition to track  controller and an exquisitely detailed locomotive with carriages every hornby set includes midimat  pictorial bird eye view of fully sceniced layout  providing the new set owner the opportunity of seeing how by the addition of hornby track and building packs superb layout can be created  track the track circuit sits easily on the x mm minimat  and by adding hornby track and accessory packs can soon be developed into very effective model railway layout  extend your set in easy steps by adding track packs and trakmat accessory packs all the way to the full layout pictured on your midimat  fill out your midimat with additional track and building packs the track circuit in this set can be extended to fully complete the included midimat which  with additional hornby track and building packs  can be simply and quickly built up into truly fascinating and effective model railway layout  additional track packs include track pack  track pack  track pack  track pack  track pack  and track pack  additional building packs include building pack  building pack  building pack  building pack  and building pack  box contains x   x lwb open x wheel x steel sided x uk x train x buffer x track x straight x double straight x radius curve x radius double curve x power x vacpipe acc x   locomotive instruction x controller instruction x trakmat    mm
Hobbies > Model Trains & Railway Sets > Rail Vehicles > Trains,"corporation representing the subway era  it will reproduce the appearance of the heyday of the marunouchi line form  in s  the world by storm was  red white band worked contrast to the body  decorative band of sine curve  accurately reproduce the nostalgic design  so that customers can enjoy with ease  and divided into three both basic set and three car hematopoiesis set  subway finest cars are revitalized at hand  three car compact organization of  the running  the exhibition  either to perfect  to car train of exactly the real thing together  the top car of the basic set of head tail lights and front destination display ""ikebukuro"" lights  ""ogikubo"" is included for the destination display exchange  for all vehicles of hematopoiesis set also of the top car  it is also ideal for the collection and exhibitions head tail lights non lighting  motor vehicles are not included adopt proven flywheel power unit  you can enjoy stable nimble running  the intermediate connecting part  as standard body mounted kato coupler mitsuren form  achieve smooth running and feeling ligation surface  package paper box of the four car type  special binding dedicated package of who designed the underground tunnels and distinctive red body from amazon co jp"
